#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-06-14T15:26:51 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-06-14T15:26:51	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/other/Nat/598.267/tables1&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1038059801
#Name: J/other/Nat/598.267
#Title: List of radio bursts (Li+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/other/nat/598.267	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/other/nat/598.267	    IVOID of underlying data collection
#INFO	creator=Li D.	    First author or institution
#INFO	cites=bibcode:2021Natur.598..267L	    Article or Data origin sources
#INFO	journal=Natu	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/other/Nat/598.267	    Dataset landing page
#INFO	publication_date=2022-09-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_other_Nat_598_267_tables1:
#Name: J/other/Nat/598.267/tables1
#Title: All relevant data for the 1652 detected burst events
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Burst	(I4)	Burst ID	[ucd=meta.id;meta.main]
#Column	MJD	(F15.9)	Burst time (MJD) (1)	[ucd=time.epoch]
#Column	DM	(F5.1)	Dispersion measure	[ucd=phys.dispMeasure;instr.dispersion]
#Column	e_DM	(F4.1)	Dispersion measure error	[ucd=stat.error]
#Column	Width	(F5.2)	Pulse width error	[ucd=src.var.pulse]
#Column	e_Width	(F5.2)	Pulse width	[ucd=stat.error;spect.line.width]
#Column	Bandwidth	(F6.3)	Bandwidth (2)	[ucd=em.freq]
#Column	Fp	(F8.3)	Peak flux	[ucd=phot.flux]
#Column	e_Fp	(F4.1)	Peak flux error	[ucd=stat.error]
#Column	Fluence	(F7.4)	Fluence	[ucd=phot.fluence;em.gamma.hard]
#Column	e_Fluence	(F7.4)	Fluence error	[ucd=stat.error;phot.fluence]
#Column	E	(D10.3)	Energy	[ucd=phys.energy]
#Column	e_E	(E10.3)	Energy error	[ucd=stat.error]
recno	Burst	MJD	DM	e_DM	Width	e_Width	Bandwidth	Fp	e_Fp	Fluence	e_Fluence	E	e_E
     819	 819	58738.985892978	561.9	 0.5	 7.05	 0.09	 0.120	   5.127	 0.0	 0.0362	 0.0000	 3.870e+37	 3.000e+34
     820	 820	58738.987211824	565.2	 0.6	 7.34	 0.07	 0.150	   8.430	 0.6	 0.0619	 0.0000	 6.624e+37	 4.000e+34
     821	 821	58738.987950018	566.4	 0.7	 1.97	 0.01	 0.100	  22.910	 1.2	 0.0451	 0.0000	 4.831e+37	 1.000e+34
     822	 822	58738.987950034	567.4	 0.6	 3.45	 0.06	 0.070	  12.910	 2.4	 0.0445	 0.0001	 4.768e+37	 1.400e+35
     823	 823	58738.988169778	565.5	 0.4	 8.47	 0.09	 0.150	   5.450	 0.6	 0.0462	 0.0001	 4.942e+37	 6.000e+34
     824	 824	58738.988564430	566.1	 0.5	 4.44	 0.07	 0.150	   5.750	 0.7	 0.0255	 0.0000	 2.733e+37	 5.000e+34
     825	 825	58738.988588558	567.0	 0.8	 2.65	 0.01	 0.300	  22.560	 1.0	 0.0598	 0.0000	 6.400e+37	 1.000e+34
     826	 826	58738.988588580	567.2	 0.6	 1.10	 0.50	 0.110	   5.510	 0.9	 0.0061	 0.0000	 6.488e+36	 4.800e+34
     827	 827	58738.988604877	568.4	 0.6	 4.37	 0.03	 0.300	  15.520	 0.8	 0.0678	 0.0000	 7.260e+37	 2.000e+34
     828	 828	58738.989113269	566.4	 0.3	 2.46	 0.05	 0.200	   7.300	 1.2	 0.0180	 0.0001	 1.922e+37	 5.000e+34
     829	 829	58738.989778895	566.8	 0.4	 7.00	 0.90	 0.050	   6.870	 0.7	 0.0481	 0.0001	 5.148e+37	 6.000e+34
     830	 830	58738.990210552	569.3	 0.7	 6.05	 0.09	 0.050	   7.090	 0.9	 0.0429	 0.0001	 4.592e+37	 8.000e+34
     831	 831	58738.991138562	568.9	 0.8	14.43	 0.09	 0.100	   4.830	 0.6	 0.0697	 0.0001	 7.461e+37	 1.500e+35
     832	 832	58738.991425582	568.3	 0.7	 8.10	 0.60	 0.180	  10.240	 0.6	 0.0829	 0.0000	 8.879e+37	 4.000e+34
     833	 833	58738.993118070	566.1	 1.2	 1.59	 0.02	 0.150	  15.500	 1.4	 0.0246	 0.0000	 2.638e+37	 2.000e+34
     834	 834	58738.993118119	565.5	 1.0	 1.12	 0.01	 0.120	  16.600	 0.3	 0.0186	 0.0000	 1.990e+37	 0.000e+00
     835	 835	58738.994140846	568.7	 0.6	 9.09	 0.09	 0.100	   6.190	 0.6	 0.0563	 0.0001	 6.023e+37	 7.000e+34
     836	 836	58738.995007935	566.7	 0.5	 3.69	 0.05	 0.100	   4.574	 0.0	 0.0169	 0.0000	 1.806e+37	 1.000e+34
     837	 837	58738.996852673	567.2	 0.5	 7.84	 0.09	 0.100	   3.855	 0.0	 0.0302	 0.0000	 3.235e+37	 3.000e+34
     838	 838	58738.997810547	566.4	 0.4	 3.19	 0.03	 0.250	  13.850	 0.9	 0.0442	 0.0000	 4.730e+37	 2.000e+34
     839	 839	58738.997810628	563.8	 0.6	 4.54	 0.05	 0.250	   9.530	 0.8	 0.0433	 0.0000	 4.632e+37	 3.000e+34
     840	 840	58741.878721653	565.7	 0.3	 2.82	 0.05	 0.400	  10.890	 1.5	 0.0307	 0.0001	 3.287e+37	 7.000e+34
     841	 841	58741.896348136	566.1	 0.3	 2.12	 0.00	 0.300	 184.620	 1.7	 0.3914	 0.0000	 4.190e+38	 0.000e+00
     842	 842	58741.906732710	564.5	 0.3	 5.52	 0.07	 0.100	   8.770	 0.9	 0.0484	 0.0001	 5.182e+37	 6.000e+34
     843	 843	58741.910679445	564.0	 0.2	 0.85	 0.01	 0.400	  56.910	 2.9	 0.0484	 0.0000	 5.178e+37	 1.000e+34
     844	 844	58741.910679462	566.2	 0.7	 3.76	 0.01	 0.400	  74.830	 1.4	 0.2814	 0.0000	 3.012e+38	 0.000e+00
     845	 845	58742.892325833	565.6	 0.5	 8.39	 0.09	 0.100	   6.240	 0.8	 0.0524	 0.0001	 5.604e+37	 1.000e+35
     846	 846	58742.903374702	564.5	 0.5	 4.21	 0.06	 0.105	   4.398	 0.0	 0.0185	 0.0000	 1.981e+37	 2.000e+34
     847	 847	58743.920048185	568.5	 0.5	 7.51	 0.09	 0.150	   5.210	 0.0	 0.0392	 0.0000	 4.191e+37	 3.000e+34
     848	 848	58743.925098512	562.8	 0.5	 3.94	 0.03	 0.100	  16.340	 0.9	 0.0644	 0.0000	 6.892e+37	 2.000e+34
     849	 849	58743.925818802	566.5	 0.5	 6.20	 0.60	 0.150	   9.540	 0.8	 0.0592	 0.0000	 6.332e+37	 4.000e+34
     850	 850	58743.940609233	566.6	 0.5	 3.14	 0.02	 0.150	  19.190	 1.0	 0.0603	 0.0000	 6.450e+37	 2.000e+34
     851	 851	58743.942644605	564.1	 0.7	 4.10	 0.50	 0.400	  16.280	 1.1	 0.0668	 0.0000	 7.145e+37	 5.000e+34
     852	 852	58744.875032122	566.0	 0.5	 4.77	 0.07	 0.140	  13.287	 0.2	 0.0633	 0.0001	 6.779e+37	 9.000e+34
     853	 853	58744.884265650	566.0	 0.5	 3.92	 0.06	 0.120	   6.305	 0.1	 0.0247	 0.0000	 2.647e+37	 3.000e+34
     854	 854	58744.896132116	566.0	 0.5	 2.84	 0.04	 0.080	  20.801	 0.2	 0.0591	 0.0001	 6.326e+37	 7.000e+34
     855	 855	58744.902384513	566.3	 0.5	 6.58	 0.09	 0.340	   9.068	 0.1	 0.0597	 0.0001	 6.386e+37	 6.000e+34
     856	 856	58745.926172894	565.4	 0.5	 4.84	 0.04	 0.200	  11.710	 0.8	 0.0567	 0.0000	 6.067e+37	 2.000e+34
     857	 857	58745.926172925	565.8	 0.6	 6.10	 0.90	 0.130	   5.310	 0.9	 0.0324	 0.0001	 3.467e+37	 1.100e+35
     858	 858	58745.927117966	565.6	 0.6	 3.25	 0.09	 0.200	   4.980	 1.6	 0.0162	 0.0002	 1.733e+37	 1.900e+35
     859	 859	58745.927118030	565.6	 0.5	11.17	 0.09	 0.250	   8.380	 0.7	 0.0936	 0.0001	 1.002e+38	 1.000e+35
     860	 860	58745.927924896	564.8	 0.4	 4.20	 0.30	 0.080	  15.950	 0.9	 0.0670	 0.0000	 7.171e+37	 2.000e+34
     861	 861	58745.927924914	568.7	 1.0	 5.56	 0.09	 0.180	   5.010	 0.7	 0.0279	 0.0001	 2.982e+37	 9.000e+34
     862	 862	58745.930735422	566.7	 0.6	 5.03	 0.06	 0.150	   8.190	 0.8	 0.0412	 0.0001	 4.410e+37	 5.000e+34
     863	 863	58745.930868265	567.7	 0.5	 4.22	 0.06	 0.050	   8.050	 0.9	 0.0340	 0.0001	 3.637e+37	 5.000e+34
     864	 864	58745.930975561	568.5	 0.5	 4.46	 0.06	 0.180	   6.672	 0.1	 0.0298	 0.0000	 3.187e+37	 2.000e+34
     865	 865	58745.933259007	566.4	 0.5	 6.40	 0.80	 0.100	   6.880	 0.7	 0.0440	 0.0001	 4.714e+37	 5.000e+34
     866	 866	58745.934533431	566.7	 0.8	 3.52	 0.05	 0.100	   7.430	 1.0	 0.0261	 0.0001	 2.800e+37	 5.000e+34
     867	 867	58745.935009556	569.8	 0.5	 7.49	 0.09	 0.170	   4.151	 0.0	 0.0311	 0.0000	 3.327e+37	 2.000e+34
     868	 868	58745.937603269	566.0	 0.5	 3.72	 0.04	 0.100	   9.650	 0.9	 0.0359	 0.0000	 3.843e+37	 3.000e+34
     869	 869	58745.939232967	568.2	 0.7	 6.41	 0.09	 0.200	   5.770	 0.7	 0.0370	 0.0001	 3.959e+37	 7.000e+34
     870	 870	58745.940414050	569.0	 0.5	 3.25	 0.05	 0.100	   7.480	 1.0	 0.0243	 0.0000	 2.602e+37	 5.000e+34
     871	 871	58745.941749435	566.2	 0.4	 5.21	 0.06	 0.100	   8.950	 0.8	 0.0466	 0.0000	 4.992e+37	 5.000e+34
     872	 872	58745.943742922	566.4	 0.7	 3.90	 0.50	 0.200	   8.720	 0.9	 0.0340	 0.0000	 3.641e+37	 5.000e+34
     873	 873	58745.943743782	563.9	 0.5	 6.06	 0.05	 0.200	  11.270	 0.8	 0.0683	 0.0000	 7.311e+37	 4.000e+34
     874	 874	58745.943964729	568.2	 0.7	 9.99	 0.09	 0.100	   5.200	 0.6	 0.0520	 0.0001	 5.561e+37	 9.000e+34
     875	 875	58745.945355618	563.4	 0.6	 2.66	 0.02	 0.060	  21.650	 1.1	 0.0576	 0.0000	 6.165e+37	 2.000e+34
     876	 876	58745.945703413	563.3	 0.8	 5.86	 0.05	 0.220	   9.490	 0.7	 0.0556	 0.0000	 5.953e+37	 4.000e+34
     877	 877	58745.945990997	565.6	 0.4	 5.06	 0.05	 0.150	  10.630	 0.8	 0.0538	 0.0000	 5.758e+37	 4.000e+34
     878	 878	58745.947020581	565.8	 0.6	 3.18	 0.02	 0.150	  17.160	 1.1	 0.0546	 0.0000	 5.841e+37	 2.000e+34
     879	 879	58745.947020653	566.1	 0.3	 3.21	 0.03	 0.120	  16.130	 1.2	 0.0518	 0.0000	 5.543e+37	 4.000e+34
     880	 880	58745.947223560	567.2	 0.8	 2.58	 0.03	 0.050	  11.080	 1.0	 0.0286	 0.0000	 3.060e+37	 3.000e+34
     881	 881	58745.947608685	566.9	 0.5	 7.93	 0.09	 0.100	   5.380	 0.7	 0.0427	 0.0001	 4.567e+37	 8.000e+34
     882	 882	58745.947690165	566.2	 0.3	 3.35	 0.04	 0.045	   9.750	 1.1	 0.0327	 0.0000	 3.496e+37	 5.000e+34
     883	 883	58745.948979036	565.2	 0.6	 2.65	 0.03	 0.200	   9.940	 1.0	 0.0263	 0.0000	 2.820e+37	 3.000e+34
     884	 884	58745.950594876	564.9	 0.4	 5.05	 0.07	 0.300	   7.600	 0.8	 0.0384	 0.0001	 4.109e+37	 5.000e+34
     885	 885	58745.951244526	565.3	 0.5	10.27	 0.09	 0.200	   7.680	 0.6	 0.0789	 0.0001	 8.443e+37	 7.000e+34
     886	 886	58745.954999362	569.1	 0.8	 4.46	 0.02	 0.400	  28.330	 0.9	 0.1263	 0.0000	 1.353e+38	 0.000e+00
     887	 887	58745.954999429	565.5	 0.6	 4.21	 0.03	 0.400	  28.140	 0.9	 0.1185	 0.0000	 1.268e+38	 0.000e+00
     888	 888	58745.960029454	567.5	 0.6	 5.68	 0.05	 0.100	  10.420	 0.7	 0.0592	 0.0000	 6.336e+37	 3.000e+34
     889	 889	58745.960872020	566.0	 0.6	 9.55	 0.09	 0.100	   5.070	 0.6	 0.0484	 0.0001	 5.183e+37	 9.000e+34
     890	 890	58745.961671011	567.8	 0.6	 5.18	 0.03	 0.150	  15.130	 0.8	 0.0784	 0.0000	 8.390e+37	 2.000e+34
     891	 891	58745.962176326	565.3	 0.4	 4.26	 0.07	 0.200	   9.360	 1.0	 0.0399	 0.0001	 4.268e+37	 7.000e+34
     892	 892	58745.965311861	565.0	 0.5	 3.62	 0.05	 0.080	  14.977	 0.1	 0.0542	 0.0001	 5.799e+37	 5.000e+34
     893	 893	58746.863704905	566.0	 0.5	 7.63	 0.09	 0.160	  69.576	 0.8	 0.5309	 0.0007	 5.683e+38	 7.000e+35
     894	 894	58746.863830256	565.0	 0.5	 5.30	 0.80	 0.150	   6.450	 0.1	 0.0342	 0.0000	 3.660e+37	 5.000e+34
     895	 895	58746.864158689	568.7	 0.5	 5.08	 0.05	 0.100	  12.050	 1.1	 0.0612	 0.0001	 6.553e+37	 6.000e+34
     896	 896	58746.867885553	566.9	 0.4	 5.51	 0.05	 0.300	  16.560	 1.1	 0.0912	 0.0001	 9.768e+37	 5.000e+34
     897	 897	58746.868681532	566.4	 0.3	 2.27	 0.04	 0.200	  13.230	 1.7	 0.0300	 0.0001	 3.215e+37	 6.000e+34
     898	 898	58746.869599253	567.0	 0.7	11.49	 0.06	 0.400	  22.090	 0.9	 0.2538	 0.0001	 2.717e+38	 0.000e+00
     899	 899	58746.869828208	567.0	 0.3	 6.83	 0.04	 0.400	  22.870	 1.1	 0.1562	 0.0000	 1.672e+38	 0.000e+00
     900	 900	58746.869975889	568.0	 0.5	 7.75	 0.09	 0.050	   8.320	 0.9	 0.0645	 0.0001	 6.902e+37	 1.100e+35
     901	 901	58746.870272253	565.5	 0.6	 4.96	 0.07	 0.150	   9.650	 1.2	 0.0479	 0.0001	 5.124e+37	 9.000e+34
     902	 902	58746.871768215	568.5	 0.5	 5.32	 0.07	 0.100	   9.720	 1.0	 0.0517	 0.0001	 5.536e+37	 7.000e+34
     903	 903	58746.871768496	566.9	 0.4	 4.64	 0.06	 0.100	  11.000	 1.2	 0.0510	 0.0001	 5.464e+37	 8.000e+34
     904	 904	58746.872266264	568.2	 0.7	 3.84	 0.05	 0.100	  12.880	 1.4	 0.0495	 0.0001	 5.295e+37	 7.000e+34
     905	 905	58746.873475142	566.7	 0.4	 4.21	 0.05	 0.200	  11.690	 1.2	 0.0492	 0.0001	 5.268e+37	 6.000e+34
     906	 906	58746.874139419	566.0	 0.4	 3.82	 0.04	 0.100	  13.640	 1.2	 0.0521	 0.0000	 5.578e+37	 5.000e+34
     907	 907	58746.874139488	565.2	 0.4	 3.20	 0.60	 0.120	  14.670	 1.4	 0.0469	 0.0001	 5.025e+37	 8.000e+34
     908	 908	58746.874224209	567.2	 0.4	 3.30	 0.20	 0.100	  21.870	 1.2	 0.0722	 0.0000	 7.726e+37	 2.000e+34
     909	 909	58746.874356734	567.0	 0.5	 4.34	 0.03	 0.120	  21.460	 1.1	 0.0931	 0.0000	 9.970e+37	 3.000e+34
     910	 910	58746.874356809	570.0	 0.8	 4.10	 0.50	 0.110	  19.860	 1.3	 0.0814	 0.0001	 8.717e+37	 6.000e+34
     911	 911	58746.876775877	565.4	 0.4	 3.75	 0.04	 0.150	  15.820	 1.3	 0.0593	 0.0001	 6.351e+37	 5.000e+34
     912	 912	58746.877364104	567.3	 0.3	 7.44	 0.03	 0.200	  27.200	 0.9	 0.2024	 0.0000	 2.166e+38	 0.000e+00
     913	 913	58746.877365856	568.0	 0.6	 3.78	 0.09	 0.200	  15.740	 7.9	 0.0595	 0.0008	 6.369e+37	 8.800e+35
     914	 914	58746.877365898	567.0	 0.5	 7.39	 0.09	 0.170	  17.770	 3.4	 0.1313	 0.0005	 1.406e+38	 5.000e+35
     915	 915	58746.878485864	567.5	 0.5	 6.38	 0.08	 0.150	   9.930	 1.0	 0.0634	 0.0001	 6.782e+37	 7.000e+34
     916	 916	58746.880333349	567.0	 0.2	10.27	 0.09	 0.300	   5.740	 0.8	 0.0590	 0.0002	 6.310e+37	 1.600e+35
     917	 917	58746.880334883	565.0	 0.3	 5.03	 0.04	 0.250	  19.410	 1.1	 0.0976	 0.0000	 1.045e+38	 0.000e+00
     918	 918	58746.880663226	567.0	 0.4	 9.33	 0.09	 0.120	   7.860	 0.9	 0.0733	 0.0001	 7.850e+37	 1.200e+35
     919	 919	58746.880958039	567.2	 0.4	 7.07	 0.06	 0.220	  14.340	 0.9	 0.1014	 0.0001	 1.085e+38	 0.000e+00
     920	 920	58746.880958054	566.3	 0.5	 5.61	 0.04	 0.100	   5.430	 0.8	 0.0305	 0.0000	 3.261e+37	 3.000e+34
     921	 921	58746.881450783	565.9	 0.5	 5.67	 0.08	 0.100	   5.532	 0.1	 0.0314	 0.0000	 3.357e+37	 4.000e+34
     922	 922	58746.883024800	562.9	 0.5	 2.81	 0.02	 0.300	  24.870	 1.4	 0.0699	 0.0000	 7.481e+37	 2.000e+34
     923	 923	58746.883680246	567.8	 0.7	 3.00	 0.50	 0.034	   8.660	 1.3	 0.0260	 0.0001	 2.781e+37	 7.000e+34
     924	 924	58746.885677514	564.5	 0.5	 2.51	 0.02	 0.200	  24.060	 1.4	 0.0604	 0.0000	 6.465e+37	 2.000e+34
     925	 925	58746.885677520	567.7	 0.7	 2.34	 0.03	 0.200	  22.430	 1.7	 0.0525	 0.0001	 5.619e+37	 5.000e+34
     926	 926	58746.885737604	566.5	 0.6	 4.92	 0.08	 0.150	   7.580	 1.1	 0.0373	 0.0001	 3.992e+37	 9.000e+34
     927	 927	58746.885993579	564.2	 0.4	 7.84	 0.09	 0.097	   8.470	 0.8	 0.0664	 0.0001	 7.109e+37	 8.000e+34
     928	 928	58746.888603942	565.8	 0.4	 2.67	 0.03	 0.100	  18.170	 1.4	 0.0485	 0.0000	 5.193e+37	 3.000e+34
     929	 929	58746.888604000	564.1	 0.5	 2.34	 0.04	 0.145	  17.030	 1.6	 0.0398	 0.0001	 4.266e+37	 5.000e+34
     930	 930	58746.888684368	566.7	 0.5	 6.28	 0.03	 0.400	  25.510	 0.9	 0.1602	 0.0000	 1.715e+38	 0.000e+00
     931	 931	58746.889965822	568.2	 0.7	 4.44	 0.06	 0.400	  12.070	 1.5	 0.0536	 0.0001	 5.737e+37	 9.000e+34
     932	 932	58746.889965929	566.6	 0.4	12.76	 0.09	 0.400	   9.180	 0.8	 0.1171	 0.0002	 1.254e+38	 1.000e+35
     933	 933	58746.890092870	565.5	 0.4	 3.03	 0.05	 0.200	  10.650	 1.3	 0.0323	 0.0001	 3.454e+37	 6.000e+34
     934	 934	58746.891126927	565.9	 0.4	 3.02	 0.04	 0.050	  10.350	 1.2	 0.0313	 0.0001	 3.346e+37	 5.000e+34
     935	 935	58746.892985825	562.8	 1.0	 3.76	 0.05	 0.030	  10.840	 1.1	 0.0408	 0.0001	 4.363e+37	 5.000e+34
     936	 936	58746.893043729	563.6	 0.5	 2.95	 0.03	 0.050	  14.100	 1.2	 0.0416	 0.0000	 4.453e+37	 4.000e+34
     937	 937	58746.893161550	566.3	 0.5	 6.65	 0.09	 0.200	   2.973	 0.0	 0.0198	 0.0000	 2.115e+37	 2.000e+34
     938	 938	58746.894158655	567.2	 0.3	 5.30	 0.80	 0.100	   6.960	 0.8	 0.0369	 0.0001	 3.949e+37	 7.000e+34
     939	 939	58746.894497912	564.7	 0.5	 3.99	 0.02	 0.200	  22.800	 1.0	 0.0910	 0.0000	 9.738e+37	 2.000e+34
     940	 940	58746.894497975	566.9	 0.3	 2.10	 0.40	 0.180	  18.760	 1.3	 0.0394	 0.0000	 4.217e+37	 4.000e+34
     941	 941	58746.895918159	565.3	 1.0	 3.30	 0.60	 0.200	  12.920	 2.1	 0.0426	 0.0001	 4.564e+37	 1.200e+35
     942	 942	58746.895918218	566.4	 0.3	 9.97	 0.09	 0.300	  10.520	 0.8	 0.1049	 0.0001	 1.123e+38	 1.000e+35
     943	 943	58746.895947041	565.3	 0.6	 2.58	 0.01	 0.300	  61.110	 1.4	 0.1577	 0.0000	 1.688e+38	 0.000e+00
     944	 944	58746.902567494	566.0	 0.5	 3.83	 0.06	 0.210	  20.145	 0.2	 0.0772	 0.0001	 8.267e+37	 8.000e+34
     945	 945	58747.844561099	565.8	 0.4	 7.47	 0.09	 0.050	  10.030	 0.9	 0.0749	 0.0001	 8.020e+37	 8.000e+34
     946	 946	58747.845633767	566.4	 0.4	 7.84	 0.09	 0.300	   7.830	 0.8	 0.0614	 0.0001	 6.571e+37	 1.000e+35
     947	 947	58747.846000743	564.9	 0.5	 9.59	 0.09	 0.200	   5.810	 0.8	 0.0557	 0.0001	 5.965e+37	 1.300e+35
     948	 948	58747.846408306	570.0	 0.4	 4.80	 0.80	 0.100	   7.780	 1.1	 0.0373	 0.0001	 3.998e+37	 8.000e+34
     949	 949	58747.848509833	565.0	 0.6	 3.52	 0.02	 0.100	  21.120	 1.2	 0.0743	 0.0000	 7.958e+37	 3.000e+34
     950	 950	58747.851778271	567.0	 0.8	 2.42	 0.00	 0.300	 896.240	 5.0	 2.1689	 0.0000	 2.322e+39	 0.000e+00
     951	 951	58747.852664508	565.2	 0.3	 3.67	 0.05	 0.100	  11.390	 1.3	 0.0418	 0.0001	 4.475e+37	 7.000e+34
     952	 952	58747.852987546	567.1	 0.6	 2.87	 0.04	 0.070	  13.230	 1.6	 0.0380	 0.0001	 4.065e+37	 6.000e+34
     953	 953	58747.855606907	567.4	 0.6	 3.05	 0.03	 0.080	  17.210	 1.3	 0.0525	 0.0000	 5.619e+37	 3.000e+34
     954	 954	58747.855848964	565.4	 0.4	 7.75	 0.09	 0.050	   6.640	 0.8	 0.0515	 0.0001	 5.509e+37	 1.000e+35
     955	 955	58747.860001941	568.8	 0.5	 5.79	 0.07	 0.050	   9.940	 1.0	 0.0575	 0.0001	 6.161e+37	 7.000e+34
     956	 956	58747.860773095	565.4	 0.4	 4.49	 0.05	 0.200	  12.460	 1.1	 0.0559	 0.0000	 5.989e+37	 5.000e+34
     957	 957	58747.862167043	565.8	 0.5	 2.32	 0.04	 0.150	  10.340	 1.6	 0.0240	 0.0001	 2.568e+37	 7.000e+34
     958	 958	58747.863486680	567.0	 0.6	 3.84	 0.05	 0.070	  11.750	 1.3	 0.0451	 0.0001	 4.830e+37	 6.000e+34
     959	 959	58747.863486702	566.6	 0.8	 3.11	 0.05	 0.100	  10.010	 1.2	 0.0311	 0.0001	 3.333e+37	 6.000e+34
     960	 960	58747.863746228	564.5	 0.5	 2.60	 0.10	 0.210	  37.800	 1.4	 0.0983	 0.0000	 1.052e+38	 0.000e+00
     961	 961	58747.863746234	564.0	 0.4	 2.30	 0.20	 0.210	  34.690	 1.5	 0.0798	 0.0000	 8.541e+37	 3.000e+34
     962	 962	58747.864719127	565.6	 0.6	 6.74	 0.07	 0.170	  11.410	 1.0	 0.0769	 0.0001	 8.232e+37	 7.000e+34
     963	 963	58747.865709418	564.8	 0.5	 4.73	 0.09	 0.185	   6.810	 1.1	 0.0322	 0.0001	 3.448e+37	 9.000e+34
     964	 964	58747.866733239	566.7	 0.5	 4.03	 0.08	 0.150	   8.530	 1.3	 0.0344	 0.0001	 3.680e+37	 1.000e+35
     965	 965	58747.867068664	568.7	 0.6	 2.61	 0.04	 0.100	  10.820	 1.3	 0.0282	 0.0000	 3.023e+37	 5.000e+34
     966	 966	58748.912227745	566.0	 0.5	 3.59	 0.05	 0.150	  18.456	 0.1	 0.0663	 0.0001	 7.097e+37	 6.000e+34
     967	 967	58748.912813535	566.0	 0.5	 4.17	 0.06	 0.170	  37.236	 0.3	 0.1554	 0.0001	 1.664e+38	 1.000e+35
     968	 968	58748.914438871	564.1	 0.5	 2.78	 0.04	 0.140	   8.804	 0.1	 0.0244	 0.0000	 2.617e+37	 2.000e+34
     969	 969	58748.915072066	564.2	 0.4	 4.91	 0.05	 0.150	   9.660	 0.8	 0.0474	 0.0000	 5.077e+37	 4.000e+34
     970	 970	58748.915072710	567.0	 0.5	 2.87	 0.05	 0.120	   7.130	 1.0	 0.0205	 0.0000	 2.191e+37	 5.000e+34
     971	 971	58748.916527244	567.0	 1.2	 8.91	 0.09	 0.140	   8.620	 0.7	 0.0768	 0.0001	 8.222e+37	 6.000e+34
     972	 972	58748.916561163	565.6	 0.6	 2.01	 0.04	 0.400	  10.600	 1.6	 0.0213	 0.0001	 2.281e+37	 6.000e+34
     973	 973	58748.916561175	565.7	 0.4	 9.04	 0.07	 0.400	  13.310	 1.2	 0.1203	 0.0001	 1.288e+38	 0.000e+00
     974	 974	58748.916565383	564.5	 0.6	 6.89	 0.09	 0.400	   5.290	 0.8	 0.0365	 0.0001	 3.902e+37	 9.000e+34
     975	 975	58748.918503295	567.1	 0.7	 4.44	 0.03	 0.150	  14.530	 0.8	 0.0645	 0.0000	 6.906e+37	 2.000e+34
     976	 976	58748.918503299	566.0	 0.4	 5.21	 0.05	 0.050	   4.290	 1.2	 0.0223	 0.0001	 2.393e+37	 6.000e+34
     977	 977	58748.919463421	566.7	 0.5	 0.78	 0.03	 0.250	   5.960	 2.0	 0.0046	 0.0001	 4.976e+36	 7.100e+34
     978	 978	58748.919463445	563.9	 0.7	 3.57	 0.07	 0.100	   7.130	 0.8	 0.0255	 0.0001	 2.725e+37	 5.000e+34
     979	 979	58748.922247994	567.0	 0.3	 3.65	 0.07	 0.100	   6.280	 1.0	 0.0229	 0.0001	 2.454e+37	 7.000e+34
     980	 980	58748.924422443	566.1	 0.5	 2.41	 0.06	 0.400	   5.210	 1.1	 0.0126	 0.0001	 1.344e+37	 6.000e+34
     981	 981	58748.925020254	566.5	 0.5	 2.21	 0.09	 0.400	   3.300	 1.7	 0.0073	 0.0002	 7.807e+36	 2.310e+35
     982	 982	58748.925020301	567.0	 0.3	 5.38	 0.08	 0.400	  10.390	 0.8	 0.0559	 0.0001	 5.984e+37	 7.000e+34
     983	 983	58748.925020502	566.9	 0.3	 8.68	 0.09	 0.400	   6.190	 0.6	 0.0537	 0.0001	 5.752e+37	 7.000e+34
     984	 984	58748.925665405	565.3	 0.6	 5.36	 0.09	 0.150	   5.240	 0.8	 0.0281	 0.0001	 3.007e+37	 7.000e+34
     985	 985	58748.926648222	567.2	 0.8	 6.31	 0.09	 0.160	   6.610	 0.8	 0.0417	 0.0001	 4.465e+37	 7.000e+34
     986	 986	58748.927545205	566.2	 0.7	 4.19	 0.03	 0.190	  15.440	 0.9	 0.0647	 0.0000	 6.925e+37	 2.000e+34
