#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-06-14T14:41:12 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-06-14T14:41:12	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/922/115/table5&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_19220115
#Name: J/ApJ/922/115
#Title: Additional bursts at 1.4GHz for FRB 121102 (Aggarwal+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/apj/922/115	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/922/115	    IVOID of underlying data collection
#INFO	creator=Aggarwal K.	    First author or institution
#INFO	cites=bibcode:2021ApJ...922..115A	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/922/115	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.19220115	    Dataset identifier that can be used for citation
#INFO	publication_date=2023-07-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_922_115_table5:
#Name: J/ApJ/922/115/table5
#Title: Properties of all the bursts presented in this analysis
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(a6)	Burst identifier; chronologically ordered (1)	[ucd=meta.id;meta.main]
#Column	f_ID	(A1)	[*d] Flag on ID (2)	[ucd=meta.code]
#Column	muf	(I4)	[0/3100] Mean of the spectra, {mu}_f_	[ucd=em.freq]
#Column	E_muf	(I4)	[1/1490] Upper 1{sigma} uncertainty in muf	[ucd=stat.error;stat.max]
#Column	e_muf	(I4)	[1/2000] Lower 1{sigma} uncertainty in muf	[ucd=stat.error]
#Column	sigmaf	(I4)	[31/3000] Width of the spectra, {sigma}_f_	[ucd=spect.line.width]
#Column	E_sigmaf	(I4)	[1/2790] Upper 1{sigma} uncertainty in sigmaf	[ucd=stat.error;stat.max]
#Column	e_sigmaf	(I4)	[1/2000] Lower 1{sigma} uncertainty in sigma_f	[ucd=stat.error]
#Column	S	(F7.4)	[0/20] Component fluence	[ucd=phot.fluence;em.radio.750-1500MHz]
#Column	E_S	(F7.4)	[0.0007/26.2] Upper 1{sigma} uncertainty in S	[ucd=stat.error;stat.max]
#Column	e_S	(F7.4)	[0.0007/10] Lower 1{sigma} uncertainty in S	[ucd=stat.error]
#Column	MJD	(F16.10)	[57644.4/57645.5] Modified Julian Date of mean pulse profile, {mu}_t_ (3)	[ucd=time.epoch]
#Column	e_MJD	(F7)	[4e-10/2e-07] The 1{sigma} uncertainty in MJD	[ucd=stat.error;time.epoch]
#Column	sigmat	(F5.2)	[0/8.3] Profile width, {sigma}_{tau}_	[ucd=time.interval]
#Column	E_sigmat	(F5.2)	[0.02/10] Upper 1{sigma} uncertainty in sigmat	[ucd=stat.error;stat.max]
#Column	e_sigmat	(F5.2)	[0.02/10] Lower 1{sigma} uncertainty in sigmat	[ucd=stat.error]
#Column	tau	(F5.2)	[0.12/3]? Scattering timescale at 1GHz	[ucd=time.scale]
#Column	E_tau	(F5.2)	[0.02/3.6]? Upper 1{sigma} uncertainty in tau	[ucd=stat.error;stat.max]
#Column	e_tau	(F5.2)	[0.01/1]? Lower 1{sigma} uncertainty in tau	[ucd=stat.error]
#Column	DM	(F6.2)	[551/600] Dispersion measure	[ucd=phys.dispMeasure;instr.dispersion]
#Column	E_DM	(F6.2)	[0.03/100] Upper 1{sigma} uncertainty in DM	[ucd=stat.error;stat.max]
#Column	e_DM	(F6.2)	[0.03/200] Lower 1{sigma} uncertainty in DM	[ucd=stat.error]
recno	ID	f_ID	muf	E_muf	e_muf	sigmaf	E_sigmaf	e_sigmaf	S	E_S	e_S	MJD	e_MJD	sigmat	E_sigmat	e_sigmat	tau	E_tau	e_tau	DM	E_DM	e_DM
      93	B86   	 	1550	  10	  10	  80	  10	  10	 0.0670	 0.0090	 0.0080	57645.4267923980	  7e-09	 0.60	 0.40	 0.30	 0.90	 0.30	 0.30	563.00	  1.00	  1.00
      94	B87   	 	1760	 440	  50	 190	 200	  50	 0.2000	 0.3800	 0.0300	57645.4269225320	  4e-09	 1.40	 0.20	 0.20	 0.90	 0.30	 0.30	571.10	  0.90	  0.90
      95	B88.1 	 	2000	1000	1000	2000	1000	2000	 0.1700	 0.0600	 0.0600	57645.4273389320	  7e-09	 0.70	 0.40	 0.30	 1.00	 0.70	 0.50	561.00	  2.00	  4.00
      96	B88.2 	 	1460	  20	  10	 130	  20	  20	 0.1100	 0.0100	 0.0100	57645.4273391780	  9e-09	 2.40	 0.40	 0.30	     	     	     	561.00	  1.00	  2.00
      97	B89   	 	1479	   8	   8	 120	   8	   7	 0.1800	 0.0100	 0.0100	57645.4289047930	  6e-09	 2.40	 0.20	 0.20	     	     	     	569.00	  0.70	  0.80
      98	B90   	 	1420	  40	 500	 120	2790	  30	 0.0900	 0.1100	 0.0200	57645.4299004400	  2e-08	 2.40	 0.60	 0.60	 0.80	 0.60	 0.30	565.00	  2.00	  2.00
      99	B91   	 	1476	   9	   9	  81	  10	   8	 0.1200	 0.0100	 0.0100	57645.4303445200	  2e-08	 3.10	 0.40	 0.40	     	     	     	572.00	  2.00	  2.00
     100	B92   	 	1721	   4	   4	  39	   6	   4	 0.1700	 0.0200	 0.0200	57645.4304476300	  1e-08	 2.60	 0.80	 0.70	 3.00	 1.00	 1.00	580.00	 10.00	 10.00
     101	B93.1 	 	1591	   9	   9	 106	  10	   9	 0.1260	 0.0080	 0.0080	57645.4306224870	  3e-09	 1.20	 0.10	 0.20	 0.40	 0.20	 0.20	565.30	  0.80	  0.90
     102	B93.2 	 	1620	  10	  10	 120	  20	  20	 0.1300	 0.0100	 0.0100	57645.4306225910	  7e-09	 1.70	 0.30	 0.30	 0.80	 0.40	 0.30	564.00	  2.00	  2.00
     103	B94   	d	3100	 200	 600	 500	  60	 120	 7.0000	10.0000	 6.0000	57645.4313062740	  4e-09	 1.10	 0.20	 0.20	 0.60	 0.40	 0.30	565.00	  2.00	  4.00
     104	B95   	 	1693	  11	   8	  90	  20	  10	 0.0950	 0.0070	 0.0070	57645.4314783730	  2e-09	 0.69	 0.08	 0.08	 0.22	 0.12	 0.08	563.50	  0.60	  0.50
     105	B96   	d	2000	1000	2000	2800	 800	1100	 0.2000	 0.0600	 0.0500	57645.4325453100	  2e-08	 2.10	 0.80	 0.90	 0.90	 0.60	 0.30	565.00	  2.00	  1.00
     106	B97   	d	2900	 400	 800	 800	 500	 200	 0.3000	 0.4000	 0.1000	57645.4330866950	  3e-09	 0.60	 0.40	 0.40	 1.00	 0.40	 0.40	562.40	  0.90	  0.50
     107	B98   	 	1667	   7	   7	  67	   8	   7	 0.0940	 0.0100	 0.0090	57645.4343304530	  5e-09	 1.10	 0.20	 0.20	 0.70	 0.30	 0.30	559.00	  2.00	  2.00
     108	B99   	d	2000	1000	2000	2800	 800	1100	 0.1300	 0.0300	 0.0300	57645.4400668470	  4e-09	 0.80	 0.20	 0.20	 0.30	 0.20	 0.10	565.80	  0.40	  0.40
     109	B100  	 	1688	   4	   4	  62	   5	   5	 0.1540	 0.0080	 0.0070	57645.4408146410	  2e-09	 1.00	 0.10	 0.10	 0.50	 0.20	 0.20	567.00	  1.00	  1.00
     110	B101  	*	1510	  20	  20	 130	  20	  20	 0.0420	 0.0060	 0.0060	57645.4419999250	  3e-09	 0.87	 0.02	 0.02	     	     	     	568.60	  0.40	  0.40
     111	B102  	 	2000	1200	 300	 300	 300	 200	 0.2000	 2.7000	 0.1000	57645.4421001640	  8e-09	 2.10	 0.40	 0.40	 0.80	 0.60	 0.40	564.00	  2.00	  2.00
     112	B103  	 	1470	  10	  10	  90	  10	  10	 0.0800	 0.0100	 0.0100	57645.4426332500	  1e-08	 1.40	 0.30	 0.30	 0.60	 0.50	 0.30	562.00	  1.00	  1.00
     113	B104  	*	1460	  60	  60	  90	  20	  20	 0.0700	 0.0900	 0.0900	57645.4427413000	  1e-07	 0.00	 2.00	 2.00	 2.10	 0.50	 0.50	569.00	  8.00	  8.00
     114	B105  	 	1670	  10	  10	 110	  20	  20	 0.0950	 0.0080	 0.0070	57645.4444809550	  2e-09	 0.51	 0.10	 0.09	 0.50	 0.10	 0.10	565.40	  0.50	  0.50
     115	B106  	 	1480	   7	   8	  97	  10	   9	 0.1600	 0.0100	 0.0100	57645.4449194720	  7e-09	 2.00	 0.20	 0.20	 0.50	 0.20	 0.10	566.00	  1.00	  1.00
     116	B107  	 	2800	 300	1000	 370	  70	 260	10.0000	10.0000	10.0000	57645.4454430700	  5e-09	 1.20	 0.30	 0.30	 0.90	 0.40	 0.40	561.00	  3.00	  2.00
     117	B108  	 	1488	   4	   4	  83	   4	   4	 0.1410	 0.0060	 0.0060	57645.4488028830	  2e-09	 0.66	 0.03	 0.03	     	     	     	561.10	  0.30	  0.30
     118	B109  	 	1460	   5	   5	  87	   5	   5	 0.2400	 0.0100	 0.0100	57645.4499870350	  8e-09	 2.80	 0.20	 0.20	     	     	     	568.00	  1.00	  1.00
     119	B110  	*	1620	  10	  10	 100	  10	  10	 0.1000	 0.0100	 0.0100	57645.4512010660	  8e-09	 1.70	 0.40	 0.40	 1.30	 0.50	 0.50	561.00	  2.00	  2.00
     120	B111  	 	1469	   6	   6	  58	   7	   6	 0.1090	 0.0100	 0.0090	57645.4519899300	  1e-08	 1.60	 0.20	 0.20	 0.50	 0.20	 0.10	563.00	  2.00	  2.00
     121	B112  	 	1442	   4	   5	  68	   4	   4	 0.1420	 0.0080	 0.0080	57645.4534261980	  4e-09	 0.59	 0.08	 0.07	 0.40	 0.07	 0.06	563.10	  0.60	  0.60
     122	B113  	 	1699	   4	   4	  68	   6	   5	 0.2900	 0.0100	 0.0100	57645.4536390670	  4e-09	 2.50	 0.10	 0.20	 0.60	 0.30	 0.20	569.00	  2.00	  2.00
     123	B114  	 	1570	  20	  20	 110	  20	  20	 0.0700	 0.0100	 0.0100	57645.4536402160	  3e-09	 0.30	 0.20	 0.10	 1.40	 0.30	 0.30	566.50	  0.70	  0.80
     124	B115  	 	1730	  30	  10	  90	  20	  20	 0.1900	 0.0300	 0.0200	57645.4542581020	  7e-09	 2.30	 0.30	 0.30	 0.90	 0.60	 0.40	569.00	  3.00	  3.00
     125	B116  	*	1480	  40	  40	 260	  60	  60	 0.0800	 0.0200	 0.0200	57645.4544929400	  9e-10	 0.05	 0.07	 0.07	 1.40	 0.30	 0.30	565.70	  0.20	  0.20
     126	B117  	 	1580	  20	  20	 130	  30	  20	 0.1000	 0.0200	 0.0100	57645.4573614700	  1e-08	 1.80	 0.90	 0.80	 1.80	 0.80	 0.80	563.00	  3.00	  3.00
     127	B118  	 	1580	  30	  20	 130	  30	  20	 0.1000	 0.0200	 0.0100	57645.4573614700	  1e-08	 1.70	 0.90	 0.80	 1.80	 0.90	 0.80	563.00	  3.00	  3.00
     128	B119  	 	1670	  60	  20	 170	  60	  30	 0.2100	 0.0400	 0.0200	57645.4585362200	  6e-09	 1.20	 0.40	 0.30	 2.60	 0.50	 0.50	569.00	  2.00	  2.00
     129	B120  	 	1690	1040	  30	 130	 380	  30	 0.0900	 0.8700	 0.0100	57645.4591033570	  6e-09	 0.80	 0.30	 0.50	 1.20	 0.50	 0.40	566.00	  2.00	  2.00
     130	B121.1	 	1612	   2	   2	  90	   2	   2	 0.3940	 0.0070	 0.0070	57645.4600532700	  1e-09	 0.82	 0.04	 0.04	 0.25	 0.06	 0.07	562.10	  0.20	  0.20
     131	B121.2	 	1321	   2	   3	 178	   2	   2	 1.7300	 0.0200	 0.0200	57645.4600533283	  4e-10	 0.95	 0.02	 0.02	 0.36	 0.02	 0.01	561.98	  0.03	  0.03
     132	B121.3	 	1181	   9	  11	  93	   9	   8	 0.3500	 0.0300	 0.0200	57645.4600534090	  4e-09	 1.22	 0.09	 0.07	     	     	     	561.60	  0.20	  0.30
     133	B122  	 	1405	   4	   4	  71	   5	   5	 0.2200	 0.0100	 0.0100	57645.4621066550	  9e-09	 2.30	 0.20	 0.20	 0.50	 0.20	 0.10	565.00	  1.00	  1.00
     134	B123  	*	1690	  20	  20	  90	  20	  20	 0.0900	 0.0200	 0.0200	57645.4625561180	  6e-09	 1.10	 0.40	 0.40	 2.00	 0.60	 0.60	567.00	  3.00	  3.00
     135	B124  	 	1560	  10	  20	 150	  20	  20	 0.0940	 0.0080	 0.0080	57645.4640527380	  3e-09	 1.00	 0.20	 0.20	 0.50	 0.20	 0.20	565.30	  0.50	  0.60
     136	B125  	 	1600	  10	  10	 140	  20	  20	 0.1210	 0.0100	 0.0090	57645.4641885550	  4e-09	 1.20	 0.20	 0.20	 0.70	 0.20	 0.20	564.40	  0.80	  0.80
     137	B126  	 	1600	1190	  60	 230	2380	  90	 0.0700	 0.1300	 0.0200	57645.4645038550	  6e-09	 0.90	 0.40	 0.50	 0.90	 0.60	 0.40	567.00	  2.00	  2.00
     138	B127  	 	2000	1000	1000	2000	1000	2000	 0.1900	 0.0600	 0.1100	57645.4651332430	  7e-09	 0.80	 0.40	 0.40	 1.20	 0.60	 0.50	566.00	  1.90	  0.70
     139	B128  	d	1000	1000	1000	2700	 900	1500	 0.2500	 0.0500	 0.0900	57645.4661009590	  6e-09	 1.10	 0.20	 0.20	 0.90	 0.30	 0.30	567.00	  0.70	  0.90
     140	B129  	 	1710	1380	  20	  90	 450	  30	 0.1100	 4.5600	 0.0200	57645.4663799970	  5e-09	 1.00	 0.30	 0.30	 1.30	 0.40	 0.40	573.00	  2.00	  3.00
     141	B130  	d	2000	1000	1000	3000	1000	1000	 0.1800	 0.0500	 0.0500	57645.4683394700	  1e-08	 1.40	 0.40	 0.40	 0.60	 0.40	 0.20	565.50	  1.00	  0.80
     142	B131  	 	1460	  10	  10	  90	  10	  10	 0.0800	 0.0100	 0.0100	57645.4723621200	  1e-08	 1.10	 0.40	 0.30	 0.70	 0.30	 0.30	564.00	  1.00	  2.00
     143	B132  	 	1720	  80	  20	 100	  70	  20	 0.0900	 0.0300	 0.0100	57645.4741385400	  3e-09	 0.70	 0.10	 0.10	 0.40	 0.20	 0.20	561.00	  1.00	  1.00
     144	B133  	 	1740	 180	  50	 230	 110	  40	 0.2200	 0.1000	 0.0300	57645.4744482290	  4e-09	 1.70	 0.20	 0.20	 0.70	 0.30	 0.30	570.60	  0.70	  0.70

